IBOV - Carteira do Dia 02/09/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.269.032.828;3,061;3,061;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,532;1,532;
Bens Indls/Transporte;AZUL4;AZUL;PN  ATZ N2;328.421.113;0,079;2,342;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991.920.937;0,585;2,342;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,183;2,342;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855.712.622;0,495;2,342;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814.523.002;0,952;3,192;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.142.696.472;1,781;3,192;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302.019.876;0,196;3,192;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.359.935;0,087;3,192;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,176;3,192;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.835.131;2,517;2,517;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.687.675;0,575;0,841;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,213;0,841;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.327.171;0,053;0,841;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,513;0,513;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,153;0,153;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;127.330.493;0,278;1,258;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;952.487.418;0,722;1,258;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,191;1,258;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;307.729.428;0,067;1,258;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.460.180;0,057;0,205;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,148;0,205;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;264.710.610;0,257;0,443;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;97.334.950;0,061;0,443;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.335.828;0,125;0,443;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.591.097;0,046;0,046;
Diversos;COGN3;COGNA ON;ON      NM;1.872.454.628;0,114;2,207;
Diversos;RENT3;LOCALIZA;ON      NM;977.700.485;1,802;2,207;
Diversos;VAMO3;VAMOS;ON      NM;485.166.826;0,164;2,207;
Diversos;YDUQ3;YDUQS PART;ON      NM;290.010.465;0,127;2,207;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;502.481.592;0,510;1,081;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,208;1,081;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;318.010.631;0,363;1,081;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.504.638.590;2,682;2,682;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.484.426.957;0,935;17,887;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.129.958.973;3,574;17,887;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EX  NM;2.842.613.858;3,560;17,887;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,039;17,887;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.455.161.368;7,280;17,887;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356.586.730;0,499;17,887;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,043;1,596;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,377;1,596;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,176;1,596;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.511.401.013;3,113;3,113;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,736;2,281;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,545;2,281;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.969.312;0,218;11,833;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,281;11,833;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.270.903.023;11,334;11,833;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.388.400;0,213;0,213;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.242.683.687;1,013;1,854;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;661.577.619;0,309;1,854;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;736.268.400;0,389;1,854;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.193.199;0,143;1,854;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;463.981.130;0,545;18,086;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.165.337.843;0,693;18,086;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON  EDJ N2;2.448.348.744;4,683;18,086;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  EDJ N2;4.431.132.660;7,770;18,086;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.699.226;0,251;18,086;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;798.909.771;1,667;18,086;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,171;18,086;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,134;18,086;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.023.392.529;1,172;18,086;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.310.634;0,520;2,091;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,571;2,091;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;464.420.650;0,330;2,862;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,903;2,862;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.145.289.019;1,629;2,862;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;420.626.825;0,085;0,806;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540.206.440;0,721;0,806;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;407.257.128;0,940;1,582;
Telecomunicação;TIMS3;TIM;ON      NM;807.495.418;0,642;1,582;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683.508.570;2,884;2,884;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;291.727.616;0,148;10,839;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  ED  N1;1.858.636.840;0,963;10,839;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,780;10,839;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,285;10,839;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,310;10,839;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,552;10,839;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.175.300;0,687;10,839;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.821.370;0,924;10,839;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON  ED  NM;255.236.938;0,513;10,839;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,896;10,839;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,345;10,839;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,436;10,839;
Quantidade Teórica Total;;;;95.883.873.369;100,000;100,000
Redutor;;;;16.508.153,22808770
